country,gdp_usd,prostate_cancer_incidence,prostate_cancer_mortality,pill_use_pct,iud_use_pct,condom_use_pct,vaginal_barrier_use_pct,europe
Burundi,200,18.6,15.6,2.4,0.8,0.5,0,FALSE
Comoros,800,12.5,9.6,8.3,0.4,0.7,0,FALSE
Djibouti,1500,7.2,5.6,13.6,0.4,0.2,0.6,FALSE
Eritrea,400,7.8,6.6,1.4,0.4,0.6,0,FALSE
Ethiopia,300,6.3,5.2,3.1,0.2,0.2,0,FALSE
Kenya,800,15.2,12.2,7.5,2.4,1.2,0,FALSE
Madagascar,400,21.8,17.6,3.4,0.6,1,0,FALSE
Malawi,300,13.5,11.1,2.4,0.2,1.6,0,FALSE
Mauritius,7500,10.8,10.7,15.8,1.3,9.1,0.2,FALSE
Mozambique,400,16.1,12.2,4.9,0.1,1.1,0,FALSE
Réunion,NA,45.7,17.4,42.6,13,3.2,0.2,FALSE
Rwanda,500,16.2,13.2,2.4,0,0.9,0,FALSE
Somalia,200,8.9,7.4,0.2,0,0,0.8,FALSE
Uganda,500,28.7,23,2.9,0.2,1.7,0,FALSE
United Republic of Tanzania,NA,8.8,7.2,5.9,0.2,2,0,FALSE
Zambia,1200,30,24.7,11.9,0.1,3.8,0.1,FALSE
Zimbabwe,600,26,20.5,43,0.3,1.4,0,FALSE
Angola,5000,19.7,16.3,2.2,0.4,0.3,0.1,FALSE
Cameroon,1200,19.2,15.2,1.6,0.3,7.599999999999999,0,FALSE
Central African Republic,400,16.3,13.2,4.8,0.2,0.9,0,FALSE
Chad,700,14,11.6,0.5,0,0.4,0,FALSE
Congo,2800,21,16.6,2.3,0.1,8.9,0,FALSE
Democratic Republic of the Congo,200,14.3,11.9,1,0.1,2.3,0.1,FALSE
Gabon,8500,18.2,13.6,4.8,0,5.1,0,FALSE
Sao Tome and Principe,1100,NA,NA,16.7,1.4,0.1,0.1,FALSE
Algeria,4600,7.1,5.4,45.9,2.3,2.3,0,FALSE
Egypt,2700,6.6,5.1,9.9,36.5,1,0,FALSE
Libyan Arab Jamahiriya,11500,10.3,8.099999999999998,9.6,11.2,NA,NA,FALSE
Morocco,3300,9.8,7.5,40.1,5.4,1.5,0.1,FALSE
Sudan,1600,9,7.3,4.3,0.3,0.3,0,FALSE
Tunisia,500,11.6,8.099999999999998,10.9,27.6,1.6,0.4,FALSE
Botswana,6900,8.9,6.6,14.3,1.7,15.5,0.1,FALSE
