kid_score,mom_iq,mom_high_school,mom_work,mom_age_yrs
65,121.117528602603,TRUE,4,27
98,89.3618817100663,TRUE,4,25
85,115.443164881725,TRUE,4,27
83,99.4496394360723,TRUE,3,25
115,92.7457099982118,TRUE,4,27
98,107.901837758501,FALSE,1,18
69,138.893106071162,TRUE,4,20
106,125.145119475328,TRUE,3,23
102,81.6195261789843,TRUE,1,24
95,95.0730686206496,TRUE,1,19
91,88.5769977185567,TRUE,1,23
58,94.8597081943671,TRUE,4,24
84,88.9628008509596,TRUE,4,27
78,114.114297012333,TRUE,4,26
102,100.534071915245,FALSE,2,24
110,120.419145591086,TRUE,1,26
102,114.426876891447,TRUE,3,23
99,111.592357580831,TRUE,3,26
105,133.849227208159,TRUE,4,20
101,97.2648010634673,FALSE,3,17
102,110.09680614075,TRUE,4,21
115,126.72399416984,TRUE,2,26
100,97.9115903092628,TRUE,2,20
87,99.9257251603133,TRUE,4,23
99,97.5950080521511,FALSE,4,19
96,121.748013460479,TRUE,4,27
72,98.7480786989934,TRUE,3,21
78,97.9152543291671,TRUE,4,22
77,80.3585564632336,TRUE,2,24
98,114.307860633927,TRUE,2,22
69,109.138316302971,TRUE,1,27
130,101.817179733939,TRUE,2,23
109,117.965104313227,TRUE,3,27
106,108.633496913048,FALSE,2,22
92,96.528619145464,TRUE,3,27
100,92.8713754661642,TRUE,4,22
107,95.8981342875886,TRUE,4,27
86,107.015457730577,TRUE,4,25
90,87.1970117452858,TRUE,1,22
110,89.3618817100663,TRUE,4,25
107,102.530987846246,TRUE,2,21
113,130.166860235388,TRUE,3,24
65,83.4141025980336,TRUE,3,22
102,125.75346623026,TRUE,1,24
103,85.8103765615827,FALSE,4,27
111,126.520072628695,TRUE,4,28
42,79.203048104857,TRUE,4,21
100,113.165907175696,TRUE,1,23
67,110.33138786508,TRUE,1,26
92,99.4092237400546,TRUE,4,28
100,102.425526488872,TRUE,2,24
110,124.900437749856,TRUE,3,27
56,94.8597081943671,TRUE,4,24
107,92.3685645501674,TRUE,3,29
97,101.817179733939,TRUE,1,23
56,79.8335329627323,FALSE,1,21
95,96.226139267492,TRUE,2,21
78,82.3554723942338,FALSE,4,21
76,76.5756473159814,FALSE,1,24
86,110.013482886319,TRUE,1,23
79,111.592357580831,TRUE,4,26
81,113.657407368227,TRUE,4,17
79,101.164556773121,FALSE,4,24
79,101.341094009698,TRUE,4,25
56,101.698163476419,TRUE,2,22
52,98.8191545781969,TRUE,2,25
63,93.4981963041352,TRUE,2,20
80,87.2938898998626,TRUE,4,24
87,87.316028002806,TRUE,4,23
88,86.2094574206895,TRUE,2,25
92,89.8379674343074,TRUE,4,23
100,121.870014908527,FALSE,1,20
94,127.544378629405,FALSE,4,20
117,109.991344783376,TRUE,4,24
102,90.4463141892395,TRUE,4,24
107,88.8949026973177,TRUE,4,26
99,113.046890918176,TRUE,4,22
73,78.0131542683097,FALSE,4,25
56,95.3896508777613,TRUE,1,20
78,83.6164421099846,FALSE,2,21
94,86.2462806103944,FALSE,2,19
110,95.3896508777613,TRUE,4,20
109,111.252314499127,TRUE,4,24
86,127.014435946011,TRUE,1,24
92,89.951950871924,TRUE,2,28
91,99.2731021994947,TRUE,2,24
123,81.1655785576865,TRUE,1,25
102,110.52128746677,TRUE,3,20
105,136.493846917085,TRUE,4,23
114,123.862011656634,TRUE,1,24
96,134.602392343459,TRUE,1,23
66,91.0989371500582,TRUE,3,23
104,103.269371773029,TRUE,2,19
108,126.287072933559,TRUE,3,22
84,127.544378629405,TRUE,4,20
83,92.4738903034255,FALSE,4,28
83,84.7940885713045,TRUE,4,23
92,100.534071915245,FALSE,2,24
109,108.003012055173,FALSE,4,22
95,78.8071449713118,FALSE,1,26
93,121.117528602603,TRUE,4,27
114,103.056011346747,TRUE,2,24
106,100.437193760669,TRUE,2,22
87,88.5548596156134,TRUE,2,24
65,85.3055571716597,TRUE,4,22
95,119.448617651507,TRUE,3,24
61,90.5517755466136,TRUE,2,21
73,96.3340383364003,TRUE,4,19
112,127.644920803886,TRUE,4,24
113,119.856558886853,TRUE,4,27
49,112.018920897562,FALSE,1,28
105,92.5143059994432,TRUE,4,25
122,96.023799755541,TRUE,4,22
96,91.4168421288192,TRUE,4,26
97,103.07814944969,TRUE,2,23
94,100.243630139074,TRUE,3,26
117,89.8158293313641,TRUE,4,24
136,115.057361749322,TRUE,4,23
85,96.650620593512,FALSE,4,20
116,105.577950778248,TRUE,4,24
106,97.7216907075729,TRUE,4,26
99,131.835771186485,TRUE,4,27
94,101.817179733939,TRUE,1,23
89,93.4981963041352,TRUE,4,20
119,104.026539286327,TRUE,4,26
112,103.708634307566,TRUE,4,23
104,107.368863177393,FALSE,2,20
92,92.5511291891481,TRUE,2,19
86,94.4425837627742,TRUE,2,19
69,93.1447908573186,TRUE,4,25
45,83.4141025980336,TRUE,4,22
57,71.037405135663,TRUE,2,28
94,127.66705890683,TRUE,1,23
104,115.687846607198,TRUE,4,23
89,90.9762568726337,FALSE,1,20
144,132.865336903467,TRUE,3,25
52,72.5022963925581,TRUE,1,26
102,100.710609151823,TRUE,4,25
106,132.688799666889,TRUE,3,24
98,98.5457391870425,TRUE,2,22
97,115.665708504254,TRUE,3,24
94,117.062799760565,TRUE,3,28
111,136.493846917085,TRUE,3,23
100,106.548478717828,TRUE,2,26
105,134.126306619218,TRUE,2,25
90,104.657024144202,TRUE,4,26
98,99.3785635568688,TRUE,2,21
121,100.437193760669,TRUE,1,22
106,89.5253875551931,TRUE,4,26
121,120.92294779354,TRUE,4,19
102,113.143769072753,TRUE,4,24
64,126.414746875437,TRUE,1,29
99,122.737163481443,TRUE,4,28
81,115.375266728083,TRUE,4,26
69,91.6067417305091,TRUE,2,20
84,88.6603209729875,TRUE,2,21
104,107.178963575703,TRUE,3,26
104,104.969604023316,TRUE,4,23
107,103.8630334412,TRUE,4,25
88,110.09680614075,TRUE,4,21
67,88.4543174411322,FALSE,1,20
103,117.032139577379,FALSE,1,21
94,125.656588075683,TRUE,4,22
109,122.601041940883,TRUE,4,24
94,121.049630448962,TRUE,3,26
98,93.1447908573186,TRUE,3,25
102,99.3785635568688,TRUE,3,21
104,123.892807443936,TRUE,4,29
114,113.043226898272,FALSE,2,20
87,115.771169861628,TRUE,3,21
102,114.938345491802,TRUE,4,22
77,93.6208765815597,TRUE,4,23
109,121.748013460479,TRUE,1,27
94,90.3494360346627,TRUE,4,22
93,83.4104385781293,FALSE,2,20
86,99.4864626257772,TRUE,4,19
97,113.910375471188,TRUE,4,28
97,97.5950080521511,TRUE,4,19
88,89.8158293313641,TRUE,4,24
103,119.584739192066,TRUE,4,28
87,97.3816476258686,FALSE,2,24
87,84.8774118257353,TRUE,4,21
90,102.328648334295,TRUE,4,22
65,99.2731021994947,TRUE,4,24
111,99.0750497482455,FALSE,4,18
109,96.9277000045708,TRUE,3,25
87,108.313250636032,TRUE,2,19
58,100.534071915245,TRUE,4,24
87,99.4864626257772,TRUE,4,19
113,113.987614356911,TRUE,3,19
64,92.7702011694918,FALSE,4,18
78,88.0298361151122,FALSE,4,21
97,106.111557481547,FALSE,4,22
95,103.232548583324,FALSE,3,25
75,99.295240302438,TRUE,4,23
91,106.742042339422,FALSE,3,22
99,99.1725600250135,TRUE,2,20
108,102.447664591815,TRUE,1,23
95,92.8677114462598,TRUE,4,20
100,116.826136045524,TRUE,4,20
85,85.4245734291798,TRUE,1,23
97,115.565166329773,FALSE,2,20
108,113.174564860055,TRUE,4,29
90,106.861058596942,TRUE,1,23
100,95.8302361339468,TRUE,3,26
82,77.1092540192799,FALSE,1,22
94,89.2908058308629,TRUE,2,21
95,112.412742040396,TRUE,4,20
119,110.643967744195,TRUE,1,23
98,109.537397162078,TRUE,1,25
100,107.901837758501,FALSE,1,18
112,104.969604023316,TRUE,2,23
136,107.682765778157,FALSE,2,19
122,109.466321282875,TRUE,2,21
126,133.532644951047,TRUE,1,19
116,128.80901236506,TRUE,2,22
98,101.270018130495,TRUE,4,21
94,87.316028002806,TRUE,4,23
93,118.090769781179,TRUE,4,22
90,120.255639745959,TRUE,2,25
70,90.3457720147583,TRUE,4,20
110,79.9046088419358,TRUE,4,25
104,136.577170171515,TRUE,4,21
83,102.425526488872,TRUE,2,24
99,132.688799666889,TRUE,4,24
81,96.2972151466954,TRUE,3,25
104,118.209786038699,TRUE,4,23
109,118.090769781179,TRUE,4,22
113,101.504599854825,TRUE,2,26
95,94.3346846938659,FALSE,2,21
74,84.67140829388,TRUE,1,20
81,86.7688663993614,TRUE,2,21
89,129.245933601341,TRUE,4,26
93,127.781042344446,TRUE,4,28
102,106.861058596942,TRUE,2,23
95,105.754488014826,TRUE,1,25
85,117.032139577379,TRUE,4,21
97,119.35173949693,TRUE,2,22
92,102.765569570576,TRUE,1,26
78,108.205351567124,FALSE,3,21
104,126.414746875437,TRUE,4,29
120,101.90050298837,TRUE,2,21
83,99.1562556370934,FALSE,2,17
105,91.8127452623644,TRUE,1,21
68,84.1414656104858,TRUE,4,24
104,84.3548260367683,TRUE,4,19
80,79.1197248504261,TRUE,2,23
120,91.4168421288192,TRUE,4,26
94,90.4463141892395,TRUE,2,24
81,79.0007085929061,TRUE,4,22
101,109.263981770924,TRUE,4,22
61,76.7521845525589,TRUE,4,25
68,97.5950080521511,TRUE,4,19
110,128.80901236506,TRUE,4,22
89,113.657407368227,FALSE,1,17
98,114.206686337254,FALSE,2,18
113,112.513284214877,TRUE,4,24
50,75.3368157031739,FALSE,1,23
57,81.5226480244075,FALSE,2,22
86,102.638886915154,TRUE,4,19
83,101.186694876064,TRUE,1,23
106,112.222842438706,TRUE,4,26
106,123.408064035336,FALSE,3,25
104,86.5665268874105,TRUE,3,22
78,100.11694748365299,TRUE,2,19
99,102.328648334295,TRUE,3,22
91,87.9465128606813,TRUE,1,23
40,80.2580142887524,FALSE,1,20
42,80.2580142887524,FALSE,1,20
69,91.0767990471149,TRUE,4,24
84,85.5789725628141,TRUE,4,25
58,113.165907175696,TRUE,4,23
42,112.05933659358,TRUE,2,25
72,101.270018130495,TRUE,3,21
80,81.8328866052668,FALSE,1,19
58,81.0945026784831,FALSE,3,21
52,81.3290844028133,TRUE,4,26
101,120.609045192776,TRUE,3,20
63,102.447664591815,TRUE,4,23
73,90.9762568726337,TRUE,2,20
68,103.708634307566,TRUE,4,23
60,102.328648334295,TRUE,4,22
69,121.870014908527,TRUE,4,20
73,88.6603209729875,FALSE,1,21
75,90.0291897576466,FALSE,1,19
20,83.5331188555537,FALSE,2,23
56,91.9206443312728,TRUE,2,19
49,87.1933477253815,TRUE,1,20
71,80.4640178206077,FALSE,4,21
46,84.3180028470634,FALSE,1,25
54,77.7397388771553,FALSE,3,22
54,82.272149139803,FALSE,1,23
44,77.3826694104343,TRUE,4,25
74,89.715287156883,TRUE,3,20
58,79.9046088419358,FALSE,2,25
46,82.1531328822829,TRUE,4,22
76,80.2616783086568,FALSE,2,22
43,77.3826694104343,FALSE,4,25
60,82.7836177401583,FALSE,4,22
58,89.2074825764321,TRUE,4,23
89,89.088466318912,TRUE,4,22
43,88.9872920222396,FALSE,2,18
94,118.923594151005,TRUE,1,21
88,83.8510238343148,TRUE,4,26
79,84.044587455909,TRUE,4,22
87,105.052927277747,TRUE,4,21
46,107.999348035269,TRUE,4,20
95,97.3816476258686,TRUE,4,24
92,103.791957561996,TRUE,4,21
42,97.5950080521511,FALSE,4,19
62,88.6603209729875,TRUE,2,21
52,107.246861729345,TRUE,2,27
101,89.8379674343074,TRUE,2,23
97,108.906912304203,TRUE,4,25
85,100.63953327262,TRUE,3,21
98,118.840270896574,TRUE,1,23
94,95.5123311551858,TRUE,2,23
90,84.7719504683612,TRUE,2,24
72,100.747432341528,TRUE,1,19
92,87.0034481236916,TRUE,1,26
75,77.8587551346754,FALSE,4,23
83,85.3018931517554,TRUE,4,20
64,92.7702011694918,TRUE,1,18
101,74.8607299789328,TRUE,4,25
82,115.248584072661,TRUE,4,19
77,107.372527197298,TRUE,4,22
101,102.202982866342,TRUE,4,27
50,97.9115903092628,TRUE,4,20
90,96.8566241253673,TRUE,4,21
103,111.465674925409,TRUE,2,19
96,109.466321282875,TRUE,3,21
50,82.2500110368597,TRUE,4,24
47,92.7702011694918,TRUE,4,18
73,115.568830349677,TRUE,2,22
62,84.044587455909,FALSE,4,22
77,116.199315207553,TRUE,4,22
64,99.295240302438,TRUE,4,23
52,87.1933477253815,TRUE,2,20
61,76.7117688565413,TRUE,4,28
86,80.6985995449379,TRUE,2,26
41,82.4633714631422,FALSE,1,19
83,85.1798917037074,TRUE,4,27
64,93.0737149781151,TRUE,4,21
83,88.5769977185567,TRUE,4,23
116,103.056011346747,TRUE,4,24
100,86.8767654682698,FALSE,3,19
42,97.9152543291671,FALSE,4,22
74,120.92294779354,TRUE,4,19
76,91.7294220079335,TRUE,4,23
92,87.5072503261452,TRUE,4,19
98,90.4463141892395,TRUE,4,24
96,84.1636037134291,TRUE,3,23
67,96.6542846134164,TRUE,4,22
84,95.703553478525,TRUE,2,19
111,88.7682200418959,TRUE,4,19
41,92.1397163116164,FALSE,1,18
68,108.003012055173,TRUE,3,22
107,80.3893522505354,TRUE,3,29
82,99.8030448828889,FALSE,4,20
89,90.0291897576466,TRUE,4,19
83,93.9387815603207,TRUE,4,26
73,103.708634307566,TRUE,4,23
74,77.1092540192799,TRUE,4,22
94,117.55716307788,TRUE,2,24
58,79.8335329627323,TRUE,2,21
76,83.6164421099846,TRUE,2,21
61,88.731396852191,TRUE,4,25
38,82.7836177401583,TRUE,4,22
100,86.8767654682698,TRUE,4,19
84,88.731396852191,TRUE,4,25
99,92.2408906082888,TRUE,4,22
86,90.5517755466136,TRUE,1,21
94,84.1414656104858,TRUE,4,24
90,93.0737149781151,TRUE,2,21
50,85.8348677328627,FALSE,2,18
112,98.8559777679018,TRUE,4,19
58,95.5123311551858,TRUE,2,23
87,101.067678618544,TRUE,2,22
76,85.9323780096308,TRUE,1,20
68,82.7836177401583,TRUE,2,22
110,98.6647554445626,TRUE,2,23
88,82.1494688623785,FALSE,3,20
87,85.6157957525191,FALSE,1,19
54,79.4376298291872,FALSE,1,26
49,75.3368157031739,FALSE,1,23
56,80.8921631665322,TRUE,2,22
79,115.771169861628,TRUE,3,21
82,97.1591040033394,TRUE,4,27
80,80.8921631665322,FALSE,1,22
60,79.505527982829,TRUE,4,27
102,98.0121324837439,TRUE,4,24
87,108.866496608185,TRUE,4,28
42,80.6985995449379,FALSE,4,26
119,100.747432341528,TRUE,4,19
84,91.0989371500582,TRUE,4,23
86,82.9859572521092,TRUE,1,21
113,89.715287156883,TRUE,4,20
72,131.010705519546,TRUE,4,19
104,124.514634617453,TRUE,4,23
94,91.6104057504134,TRUE,4,22
78,92.9903917236843,FALSE,1,23
80,91.8838211415678,FALSE,1,25
67,88.6909811561733,FALSE,1,28
104,126.093509311965,TRUE,3,26
96,84.9853108946437,FALSE,3,19
65,82.9859572521092,FALSE,1,21
64,101.795041630996,TRUE,3,24
95,100.243630139074,TRUE,2,26
56,110.013482886319,TRUE,4,23
75,88.5769977185567,FALSE,2,23
91,106.742042339422,TRUE,3,22
106,95.2921406009932,TRUE,2,18
76,108.313250636032,TRUE,1,19
90,110.33138786508,TRUE,3,26
108,116.829800065428,TRUE,4,22
86,86.6855431449306,FALSE,1,23
85,96.8566241253673,TRUE,2,21
104,90.2482617379903,FALSE,1,18
87,89.2908058308629,TRUE,4,21
41,74.2302451210575,FALSE,1,25
106,91.8838211415678,FALSE,4,25
76,96.4607209918222,FALSE,3,26
100,97.4037857288119,FALSE,4,23
89,131.533291308512,TRUE,4,21
42,78.2445582670783,TRUE,2,27
102,127.675716591188,TRUE,4,29
104,124.514634617453,TRUE,4,23
59,80.4640178206077,FALSE,4,21
93,74.8607299789328,FALSE,2,25
94,84.8774118257353,FALSE,4,21
76,92.9903917236843,TRUE,4,23
50,94.8597081943671,FALSE,2,24
88,96.8566241253673,TRUE,2,21
70,91.2533362836924,TRUE,2,25
