country,iso_code,continent,region,income_group,population,area_km2,gdp_per_capita_usd,obesity_rate_2016_pct,obesity_rate_2024_pct,life_expectancy_yrs,fertility_rate,hdi
Afghanistan,AFG,Asia,Southern and Central Asia,Low income,40121552,652864,355.7778264,5.5,10.3,53.65,4.3,0.462
Albania,ALB,Europe,Southern Europe,Upper middle income,3107100,28748,6810.114041,21.7,21.3,79.47,1.4,0.789
Algeria,DZA,Africa,Northern Africa,Lower middle income,47022473,2381741,4342.637968,27.4,21.8,78.03,2.7,0.745
Andorra,AND,Europe,Southern Europe,High income,85370,468,41992.77278,25.6,13.6,83.42,NA,0.884
Angola,AGO,Africa,Central Africa,Lower middle income,37202061,1246700,3000.444231,8.2,6.8,62.11,5,0.591
Antigua and Barbuda,ATG,North America,Caribbean,High income,102634,442,19919.72669,18.9,43.1,77.8,1.6,0.826
Argentina,ARG,South America,South America,Upper middle income,46994384,2796427,13650.60463,28.3,32.4,78.31,1.9,0.849
Armenia,ARM,Asia,Middle East,Upper middle income,2976765,29743,7018.051504,20.2,19.5,76.13,1.6,0.786
Australia,AUS,Oceania,Australia and New Zealand,High income,26768598,7692024,65099.845909999996,29,31.3,83.09,1.6,0.946
Austria,AUT,Europe,Western Europe,High income,8967982,83878,52084.6812,20.1,17.1,82.27,1.5,0.926
Azerbaijan,AZE,Asia,Middle East,Upper middle income,10650239,86600,7762.073829,19.9,20.6,74.15,1.6,0.76
"Bahamas, The",BHS,North America,Caribbean,High income,410862,13940,31458.30081,31.6,43.7,76.13,1.4,0.82
Bahrain,BHR,Asia,Middle East,High income,1566888,778,30146.92503,29.8,36.9,79.9,1.8,0.888
Bangladesh,BGD,Asia,Southern and Central Asia,Lower middle income,168697184,148460,2688.305501,3.6,5.4,74.7,1.9,0.67
Barbados,BRB,North America,Caribbean,High income,304139,431,20238.78424,23.1,33.8,78.55,1.6,0.809
Belarus,BLR,Europe,Eastern Europe,Upper middle income,9501451,207600,7888.263711,24.5,18.9,74.28,1.5,0.801
Belgium,BEL,Europe,Western Europe,High income,11977634,30528,49926.82543,22.1,16.3,81.86,1.6,0.942
Belize,BLZ,North America,Central America,Upper middle income,415789,22965,6984.21696,24.1,33.8,75.82,2,0.7
