variable,description,type,values,pct_complete
id,Participant identifier,identifier,488 distinct values,100.0
survey_cycle,NHANES survey cycle,categorical,"2009_10 (246), 2011_12 (242)",100.0
sex,Sex,categorical,"female (262), male (226)",100.0
age_yrs,Age in years,continuous,median 49.5 | range 21 to 80,100.0
race,Self-reported race/ethnicity,categorical,"White (337), Black (63), Mexican (38), Other (25), Hispanic (25)",100.0
education,Highest education completed,categorical,"College Grad (152), Some College (144), High School (93), 9 - 11th Grade (66), 8th Grade (32)",99.8
marital_status,Marital status,categorical,"Married (264), NeverMarried (82), Divorced (51), LivePartner (44), Widowed (31), Separated (16)",100.0
household_income_mid,Midpoint of the reported household income band (US$),continuous,"median 50,000 | range 2,500 to 100,000",91.6
poverty_ratio,Household income as a ratio of the federal poverty line (higher = better off),continuous,median 3.07 | range 0 to 5,92.2
home_owner,Owns their home (1 = yes),binary 0/1,"1 = 336 (69.9%), 0 = 145",98.6
work_status,Current work status,categorical,"Working (288), NotWorking (187), Looking (13)",100.0
weight_kg,Weight (kg),continuous,median 82.2 | range 40.8 to 223,99.4
height_cm,Height (cm),continuous,median 168.9 | range 143.9 to 195.8,99.6
bmi,Body mass index (kg/m2),continuous,median 28.2 | range 17.8 to 68.63,99.4
obese,BMI >= 30 (derived here from `bmi`),binary 0/1,"1 = 186 (38.4%), 0 = 299",99.4
pulse,Resting pulse (beats/min),continuous,median 72 | range 42 to 112,96.3
systolic_bp,Systolic blood pressure (mmHg),continuous,median 120 | range 85 to 183,95.9
diastolic_bp,Diastolic blood pressure (mmHg),continuous,median 71 | range 24 to 110,95.9
hypertensive,Systolic >= 130 or diastolic >= 80 (derived here from blood pressure),binary 0/1,"1 = 175 (37.4%), 0 = 293",95.9
total_cholesterol,Total cholesterol,continuous,median 5.02 | range 2.4 to 9.31,94.5
hdl_cholesterol,HDL cholesterol,continuous,median 1.32 | range 0.52 to 2.69,94.5
testosterone,Serum testosterone (ng/dL) - only 46% complete,continuous,"median 65.68 | range 3.22 to 1,113.58",45.7
diabetes,Self-reported doctor-diagnosed diabetes (1 = yes),binary 0/1,"1 = 57 (11.7%), 0 = 431",100.0
general_health,Self-rated general health,categorical,"Good (174), Vgood (156), Fair (52), Excellent (47), Poor (11)",90.2
days_phys_health_bad,Days of poor physical health in the past 30,continuous,median 0 | range 0 to 30,90.2
days_ment_health_bad,Days of poor mental health in the past 30,continuous,median 0 | range 0 to 30,90.2
sleep_hours,Average hours of sleep per night,continuous,median 7 | range 3 to 12,99.6
sleep_trouble,Has told a doctor about trouble sleeping (1 = yes),binary 0/1,"1 = 137 (28.1%), 0 = 351",100.0
phys_active,Does moderate or vigorous recreational activity (1 = yes),binary 0/1,"1 = 241 (49.4%), 0 = 247",100.0
alcohol_days_year,Days drinking alcohol in the past year,continuous,median 24 | range 0 to 364,82.0
smoked_100_cigs,Has smoked at least 100 cigarettes in their life (1 = yes),binary 0/1,"1 = 224 (45.9%), 0 = 264",100.0
