id,vaccination_status,management_role,sex,college_degree,age_group,country,occupational_sector,feels_protected
1,vaccine_refusal,0,female,1,35_to_45,china,education,1
2,vaccinated,1,male,1,45_to_55,china,education,1
3,no_vaccine_access,1,male,1,45_to_55,nigeria,other,1
4,no_vaccine_access,1,female,1,35_to_45,nigeria,health_care,1
5,no_vaccine_access,0,male,1,45_to_55,nigeria,education,0
6,no_vaccine_access,0,male,1,45_to_55,nigeria,education,0
7,vaccinated,1,male,1,45_to_55,nigeria,other,1
8,vaccinated,1,male,1,45_to_55,nigeria,other,1
9,no_vaccine_access,0,male,1,45_to_55,nigeria,transport,0
10,vaccinated,0,female,1,35_to_45,canada,health_care,1
11,no_vaccine_access,1,male,1,45_to_55,nigeria,education,0
12,vaccinated,1,female,1,45_to_55,china,health_care,1
13,vaccine_refusal,0,male,0,under_35,canada,other,1
14,vaccinated,0,female,0,over_55,canada,education,0
15,vaccinated,0,female,1,45_to_55,canada,health_care,1
16,vaccinated,0,female,0,over_55,canada,health_care,0
17,vaccinated,1,female,1,over_55,united_kingdom,education,1
18,vaccinated,1,female,1,35_to_45,poland,health_care,1
19,vaccinated,1,female,1,35_to_45,poland,manufacturing,1
20,vaccine_refusal,0,male,1,35_to_45,ireland,education,0
21,no_vaccine_access,0,female,1,35_to_45,ireland,education,0
22,vaccinated,1,female,1,45_to_55,ireland,health_care,1
23,vaccinated,1,female,1,35_to_45,ireland,health_care,0
24,vaccinated,1,female,1,35_to_45,ireland,health_care,1
25,vaccinated,1,female,1,45_to_55,ireland,health_care,1
26,vaccinated,1,female,1,35_to_45,ireland,education,0
27,vaccinated,0,female,1,35_to_45,ireland,health_care,1
28,vaccinated,1,male,1,under_35,china,other,1
29,vaccinated,0,female,1,35_to_45,china,education,1
30,vaccinated,0,female,1,under_35,china,education,1
31,vaccinated,0,female,0,35_to_45,china,public_service,1
32,vaccinated,0,female,1,35_to_45,china,education,1
33,vaccine_refusal,0,female,0,under_35,china,other,0
34,vaccinated,0,female,1,over_55,canada,health_care,1
35,vaccinated,0,female,1,35_to_45,canada,education,0
36,vaccinated,0,female,1,under_35,canada,health_care,1
37,vaccinated,0,female,1,under_35,canada,education,0
38,vaccinated,0,female,1,45_to_55,canada,education,0
39,vaccinated,0,female,1,35_to_45,canada,other,1
40,vaccinated,0,female,1,under_35,canada,health_care,1
41,vaccinated,0,female,1,under_35,canada,health_care,1
42,vaccinated,1,male,1,over_55,ireland,public_service,0
43,vaccinated,1,male,1,over_55,ireland,public_service,0
