"hours","attended","study_mode","pass"
1,8,"alone",0
2,6,"pair",0
3,9,NA,1
4,8,"alone",0
5,8,"group",1
6,7,"group",1
4,8,"group",1
9,8,"alone",0
12,8,"pair",1
7,8,"pair",1
3,5,"alone",0
11,9,"pair",1
2,NA,"alone",0
8,8,"pair",1
1,4,"alone",0
1,11,"pair",1
9,6,"group",1
1,6,"group",0
10,6,"alone",1
2,8,"pair",0
4,5,"group",0
7,10,"alone",1
0,NA,NA,0
5,7,"group",0
0,9,"pair",0
9,6,"pair",0
6,6,"alone",0
1,9,"group",0
8,7,"pair",1
1,7,"group",0
3,7,NA,0
2,6,"group",0
12,10,"group",1
6,6,"pair",0
11,7,"group",1
12,5,"pair",1
9,NA,"alone",0
1,6,"alone",0
4,10,"pair",0
2,8,"pair",0
12,6,"pair",1
12,10,NA,1
0,8,"group",0
2,9,"pair",0
12,10,"pair",1
2,6,"group",0
3,6,NA,0
10,6,"group",0
12,7,"pair",1
1,5,"alone",0
2,9,"group",0
1,6,"alone",0
1,8,"alone",1
11,10,"alone",1
4,6,"pair",0
7,7,"group",1
12,6,"group",1
5,10,"group",1
9,8,"pair",1
6,6,"alone",0
3,7,"group",0
1,7,"group",0
2,7,"pair",0
12,7,"pair",1
5,NA,"alone",0
3,8,"group",0
3,10,"pair",0
3,10,"group",0
11,8,"group",0
10,6,"pair",1
3,7,"alone",0
8,9,"alone",1
3,9,"pair",0
0,8,"alone",0
9,7,"group",1
11,9,"pair",1
4,7,"alone",0
2,8,"group",0
7,8,NA,0
6,10,"group",1
9,6,"pair",1
2,10,"group",0
5,6,"alone",0
2,6,"pair",0
12,6,"pair",1
7,7,"group",0
1,8,"pair",0
4,7,"pair",0
3,7,"pair",1
2,7,"alone",0
7,7,"group",0
4,NA,"pair",0
9,7,"group",0
10,6,"alone",1
10,6,"group",1
7,7,"group",1
3,2,"group",0
5,9,"alone",0
3,5,"pair",0
4,9,"pair",0
1,7,"group",0
11,8,"alone",1
6,5,"group",0
9,6,"group",1
10,9,"group",1
12,10,"pair",1
12,10,"group",1
1,6,"pair",0
8,8,"alone",0
10,8,"alone",1
7,7,"group",0
7,7,"group",1
11,5,"group",1
2,6,"pair",0
9,9,"pair",0
11,10,"group",1
0,8,"alone",0
12,7,"pair",1
2,9,"alone",0
3,5,"pair",0
7,7,"group",0
10,7,"alone",1
2,6,"alone",0
1,7,"group",0
1,5,"pair",0
5,6,"group",0
11,4,"group",1
4,NA,"alone",0
0,7,"pair",0
2,9,"alone",0
2,8,"group",0
4,7,"alone",0
12,6,"pair",1
10,NA,"group",1
0,7,"alone",0
5,8,"alone",0
11,5,"alone",1
10,7,"alone",1
4,7,"alone",1
9,9,"pair",1
5,7,"pair",1
9,8,"pair",1
6,7,"pair",0
4,6,"pair",0
9,9,"alone",1
8,8,"alone",1
2,10,"pair",1
2,NA,"alone",0
1,7,"group",0
5,7,"alone",1
12,7,"pair",1
3,9,"group",1
3,6,"pair",0
0,11,"pair",1
1,8,"alone",0
4,6,"group",1
8,7,"group",0
0,8,"group",0
12,6,"alone",1
9,8,"alone",0
9,7,"pair",1
8,6,"group",1
1,5,"group",0
12,5,"pair",1
8,10,"group",0
4,9,"alone",0
11,7,"alone",1
3,8,"alone",0
4,7,NA,0
1,8,"group",0
3,9,"group",1
8,9,"alone",1
2,6,"group",0
2,9,"pair",0
7,8,"pair",0
4,7,"alone",0
3,5,"group",0
5,5,"group",0
7,7,"alone",0
9,11,"pair",1
5,8,"pair",1
7,10,"pair",1
4,6,"pair",1
4,8,"alone",0
12,7,"alone",0
9,7,"pair",1
5,NA,"pair",1
10,8,"pair",1
11,9,"alone",1
8,5,"group",0
1,8,"alone",0
12,7,"group",1
1,7,"alone",0
12,9,"alone",1
10,9,"group",1
8,9,"pair",1
5,10,"pair",0
10,7,"pair",0
0,6,"pair",0
10,7,"pair",0
